ID;Host ID;Host Response Rate;Host Listings Count;Host Total Listings Count;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Zipcode;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Price;Weekly Price;Monthly Price;Guests Included;Extra People;Minimum Nights;Maximum Nights;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month;Geolocation;Features
9881248;50838254;100;2;2;embajadores;centro;28005;40.41387741618768;-3.7060828802367;apartment;entire home/apt;13;2;4;8;145;1015;4350;7;20;1;1125;38;92;9;10;10;10;10;9;strict;3.26;40.41387741618768, -3.7060828802367;0
16008676;104082974;100;1;1;embajadores;centro;28005;40.410066712354826;-3.707479842581952;loft;private room;1;1;1;2;48;336;1440;1;0;3;15;0;94;10;10;10;10;10;9;flexible;1.0;40.410066712354826, -3.7074798425819515;0
3788255;16087894;100;1;1;embajadores;centro;28005;40.40905863624145;-3.706074812474549;apartment;private room;2;0;1;1;27;189;810;1;10;2;8;44;99;10;10;10;10;10;10;moderate;1.55;40.40905863624145, -3.706074812474549;1
17699364;44267738;100;7;7;embajadores;centro;28005;40.41140096760036;-3.701871463904134;apartment;entire home/apt;6;1;1;3;65;455;1950;3;10;1;1125;0;94;10;10;10;10;10;9;strict;1.0;40.41140096760036, -3.701871463904134;0
2328281;2561320;89;8;8;embajadores;centro;28005;40.408825857663885;-3.6934779584757087;house;entire home/apt;6;2;3;4;140;980;4200;1;0;2;1125;137;97;10;10;10;10;10;10;moderate;3.8;40.408825857663885, -3.6934779584757087;0
18051753;124232383;100;1;1;embajadores;centro;28005;40.40937207239701;-3.700934174719932;apartment;private room;1;1;2;2;70;490;2100;1;0;1;1125;0;94;10;10;10;10;10;9;flexible;1.0;40.40937207239701, -3.700934174719932;0
15566594;67924537;100;1;1;embajadores;centro;28005;40.40725811005596;-3.7096983189709194;house;entire home/apt;4;1;1;1;80;560;2400;2;20;2;7;9;98;10;9;9;9;9;9;moderate;1.69;40.407258110055956, -3.7096983189709185;0
8421854;44354205;100;1;1;embajadores;centro;28005;40.41084493420776;-3.700228183282704;apartment;entire home/apt;4;1;2;2;90;630;2700;1;0;3;1125;71;95;10;10;10;10;10;10;moderate;3.91;40.41084493420776, -3.7002281832827038;0
13796014;43676704;43;1;1;embajadores;centro;28005;40.4087873214766;-3.7058265954302407;apartment;private room;1;1;1;1;18;126;540;1;0;1;1125;0;94;10;10;10;10;10;9;flexible;1.0;40.4087873214766, -3.7058265954302407;0
15558535;86496118;0;1;1;cortes;centro;28014;40.41163361190937;-3.694432590564052;condominium;entire home/apt;2;1;1;1;50;350;1500;15;15;1;1125;5;100;10;10;10;10;10;9;flexible;0.93;40.41163361190937, -3.694432590564052;0
8586639;38736915;100;2;2;cortes;centro;28014;40.41458505695702;-3.7013092332553215;apartment;private room;2;1;1;1;36;252;1080;1;0;1;1125;22;97;10;10;10;10;10;10;flexible;1.22;40.41458505695702, -3.7013092332553224;0
17129800;54310958;99;207;207;cortes;centro;28014;40.412984781904846;-3.7001919253575393;apartment;entire home/apt;2;1;0;1;84;588;2520;1;0;2;1125;0;94;10;10;10;10;10;9;strict;1.0;40.412984781904846, -3.7001919253575393;0
4413697;12000147;100;15;15;cortes;centro;28014;40.41330091631301;-3.700289211893052;apartment;entire home/apt;4;1;0;1;76;532;2280;2;25;2;30;6;96;10;10;10;9;10;9;strict;0.21;40.41330091631301, -3.7002892118930517;0
5457391;28002035;100;3;3;universidad;centro;28004;40.422317611951;-3.703335650081492;bed & breakfast;private room;4;1;1;2;49;343;1470;1;20;3;1125;34;94;9;9;10;10;10;9;strict;1.34;40.422317611951, -3.703335650081492;1
